"time_s","event","from_state","to_state"
"1.42000000","SyncReady","PullIn","PullIn"
"2.76000000","StateRequested","PullIn","Lock"
"2.78000000","StateCommitted","PullIn","Lock"
"2.78000000","TrackingReady","PullIn","Lock"
"7.76000000","StateRequested","Lock","LongFast"
"7.78000000","StateCommitted","Lock","LongFast"
"10.96000000","StateRequested","LongFast","LongLock"
"10.98000000","StateCommitted","LongFast","LongLock"
"14.16000000","StateRequested","LongLock","Medium"
"14.18000000","StateCommitted","LongLock","Medium"
