time_s,frame_id,event,from_state,to_state
1.10000000,55,SyncLocked,PullIn,PullIn
1.48000000,74,StateRequested,PullIn,Lock
1.50000000,75,StateCommitted,PullIn,Lock
3.64000000,182,StateRequested,Lock,Strong
3.66000000,183,StateCommitted,Lock,Strong
121.32000000,6066,StateRequested,Strong,Weak
121.34000000,6067,StateCommitted,Strong,Weak
161.32000000,8066,StateRequested,Weak,Medium
161.34000000,8067,StateCommitted,Weak,Medium
167.72000000,8386,StateRequested,Medium,Strong
167.74000000,8387,StateCommitted,Medium,Strong
271.18000000,13559,StateRequested,Strong,Weak
271.20000000,13560,StateCommitted,Strong,Weak
311.50000000,15575,StateRequested,Weak,Medium
311.52000000,15576,StateCommitted,Weak,Medium
317.90000000,15895,StateRequested,Medium,Strong
317.92000000,15896,StateCommitted,Medium,Strong
421.18000000,21059,StateRequested,Strong,Weak
421.20000000,21060,StateCommitted,Strong,Weak
461.18000000,23059,StateRequested,Weak,Medium
461.20000000,23060,StateCommitted,Weak,Medium
467.58000000,23379,StateRequested,Medium,Strong
467.60000000,23380,StateCommitted,Medium,Strong
